啊	a
阿	aa
爱	ai
安	an
奥	ao
不	b
把	ba
滨	bb
报	bc
白	bd
本	bf
蹦	bg
帮	bh
比	bi
办	bj
并	bk
边	bm
表	bn
拨	bo
别	bp
部	bu
被	bw
才	c
擦	ca
草	cc
菜	cd
测	ce
伧	cf
曾	cg
藏	ch
次	ci
参	cj
错	co
窜	cr
从	cs
粗	cu
催	cv
凑	cz
的	d
大	da
到	dc
代	dd
得	de
等	dg
当	dh
地	di
但	dj
定	dk
点	dm
调	dn
多	do
跌	dp
丢	dq
段	dr
动	ds
读	du
对	dv
得	dw
都	dz
二	e
诶	ei
恩	en
非	f
法	fa
风	fg
反	fj
佛	fo
副	fu
费	fw
否	fz
个	g
嘎	ga
高	gc
该	gd
各	ge
跟	gf
更	gg
刚	gh
干	gj
怪	gk
光	gl
过	go
关	gr
共	gs
古	gu
贵	gv
给	gw
够	gz
和	h
哈	ha
好	hc
还	hd
何	he
很	hf
横	hg
行	hh
含	hj
坏	hk
黄	hl
或	ho
换	hr
红	hs
户	hu
会	hv
黑	hw
后	hz
出	i
差	ia
超	ic
拆	id
车	ie
陈	if
成	ig
长	ih
吃	ii
产	ij
揣	ik
窗	il
戳	io
传	ir
冲	is
处	iu
吹	iv
抽	iz
就	j
进	jb
几	ji
经	jk
将	jl
间	jm
叫	jn
接	jp
窘	js
据	ju
加	jx
均	jy
可	k
卡	ka
靠	kc
开	kd
科	ke
肯	kf
坑	kg
抗	kh
看	kj
快	kk
况	kl
扩	ko
宽	kr
空	ks
酷	ku
亏	kv
尅	kw
口	kz
了	l
拉	la
林	lb
老	lc
来	ld
乐	le
冷	lg
浪	lh
里	li
另	lk
两	ll
连	lm
料	ln
落	lo
列	lp
刘	lq
乱	lr
龙	ls
路	lu
率	lv
类	lw
论	ly
楼	lz
没	m
吗	ma
民	mb
毛	mc
买	md
么	me
们	mf
梦	mg
米	mi
慢	mj
明	mk
面	mm
末	mo
灭	mp
目	mu
每	mw
某	mz
你	n
那	na
您	nb
闹	nc
呢	ne
嫩	nf
能	ng
囊	nh
泥	ni
难	nj
宁	nk
娘	nl
年	nm
鸟	nn
挪	no
捏	np
牛	nq
暖	nr
弄	ns
虐	nt
怒	nu
女	nv
内	nw
哦	o
嗯	og
呒	om
喔	oo
欧	ou
平	p
怕	pa
品	pb
跑	pc
排	pd
盆	pf
碰	pg
旁	ph
批	pi
盘	pj
凭	pk
片	pm
票	pn
破	po
撇	pp
普	pu
配	pw
剖	pz
去	q
亲	qb
